Attrition_Flag,Customer_Age,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy
Existing Customer,43,2,Unknown,Single,R120K +,Blue,34,5,3,4,33913,0,33913
Existing Customer,41,3,Unknown,Married,R120K +,Blue,33,2,4,3,34516,638,33878
Attrited Customer,56,1,Uneducated,Married,R80K - R120K,Blue,36,6,2,1,33870,0,33870
Existing Customer,48,5,Graduate,Married,R80K - R120K,Blue,38,6,2,2,34516,657,33859
Existing Customer,44,3,Unknown,Single,R80K - R120K,Silver,38,3,3,1,34516,657,33859
Existing Customer,42,4,College,Married,R80K - R120K,Blue,34,3,2,3,34516,668,33848
Existing Customer,50,2,Unknown,Married,R120K +,Gold,35,4,5,3,34516,668,33848
Existing Customer,46,2,Uneducated,Single,R120K +,Blue,33,6,2,3,34516,676,33840
Attrited Customer,41,2,Graduate,Single,R60K - R80K,Gold,36,2,3,3,34516,687,33829
Existing Customer,46,3,Uneducated,Married,R60K - R80K,Gold,33,3,1,3,34516,713,33803
Existing Customer,46,2,Post-Graduate,Married,R80K - R120K,Blue,26,1,3,1,34516,714,33802
Existing Customer,48,4,Uneducated,Married,R60K - R80K,Silver,35,5,3,4,33791,0,33791
Existing Customer,47,2,Uneducated,Married,R80K - R120K,Silver,38,4,3,4,34516,733,33783
Existing Customer,48,4,Graduate,Married,R80K - R120K,Blue,34,1,1,1,34516,738,33778
Existing Customer,41,4,Uneducated,Divorced,R60K - R80K,Silver,36,4,2,3,33771,0,33771
Attrited Customer,52,2,Graduate,Divorced,R80K - R120K,Silver,44,4,3,2,34516,751,33765
Existing Customer,47,5,Graduate,Married,R80K - R120K,Silver,36,3,3,1,34516,760,33756
Existing Customer,52,2,High School,Single,R120K +,Blue,43,3,2,3,34516,761,33755
Existing Customer,51,3,Graduate,Married,R80K - R120K,Gold,36,2,1,3,34516,761,33755
Attrited Customer,54,3,Graduate,Married,R80K - R120K,Silver,36,2,3,1,34516,761,33755
Existing Customer,46,5,High School,Unknown,R120K +,Blue,26,4,3,3,34516,772,33744
Existing Customer,36,1,Uneducated,Divorced,R80K - R120K,Blue,28,4,1,3,34516,774,33742
Attrited Customer,42,3,Graduate,Married,R80K - R120K,Blue,36,1,1,3,34516,781,33735
Attrited Customer,48,3,Uneducated,Married,R120K +,Blue,36,5,2,4,34516,787,33729
Attrited Customer,39,2,Uneducated,Married,R120K +,Silver,19,2,1,2,34516,796,33720
Existing Customer,45,5,Graduate,Married,R120K +,Blue,26,6,3,2,34516,797,33719
Existing Customer,53,4,College,Single,R80K - R120K,Silver,48,5,1,2,34516,800,33716
Existing Customer,47,1,Unknown,Divorced,R80K - R120K,Silver,38,3,2,3,34516,802,33714
Existing Customer,60,0,High School,Single,R80K - R120K,Silver,36,1,2,3,34516,806,33710
Existing Customer,48,4,Graduate,Married,R80K - R120K,Silver,40,6,2,5,34516,807,33709
Existing Customer,55,3,High School,Single,R80K - R120K,Gold,49,2,1,3,34516,810,33706
Existing Customer,51,2,Post-Graduate,Unknown,R80K - R120K,Gold,46,2,3,2,34516,814,33702
Existing Customer,41,4,Graduate,Single,R120K +,Blue,35,5,3,3,34516,825,33691
Attrited Customer,41,4,Graduate,Married,R80K - R120K,Silver,28,3,2,3,34516,825,33691
Existing Customer,43,5,Uneducated,Married,R120K +,Blue,31,4,3,4,34516,830,33686
Existing Customer,53,1,High School,Married,R120K +,Gold,44,1,6,3,34516,831,33685
Existing Customer,54,3,Graduate,Married,R120K +,Blue,46,3,1,3,34516,854,33662
Existing Customer,54,3,Graduate,Married,R120K +,Blue,44,2,1,3,34516,862,33654
Existing Customer,45,4,Graduate,Married,R120K +,Blue,36,5,2,3,34516,880,33636
Existing Customer,51,2,Uneducated,Single,R120K +,Blue,36,5,2,4,34516,888,33628
Existing Customer,50,5,Post-Graduate,Married,R120K +,Silver,36,5,2,4,34516,891,33625
Existing Customer,42,3,College,Single,R80K - R120K,Silver,26,3,2,2,34516,904,33612
Existing Customer,39,1,Uneducated,Single,R80K - R120K,Blue,36,1,1,3,34458,846,33612
Existing Customer,36,4,Uneducated,Single,Unknown,Silver,21,3,1,2,34516,907,33609
Existing Customer,49,2,Graduate,Single,R60K - R80K,Gold,45,2,3,1,34516,913,33603
Existing Customer,33,3,College,Married,R80K - R120K,Silver,22,6,2,2,34516,917,33599
Existing Customer,42,3,College,Single,Unknown,Silver,31,3,2,2,34516,919,33597
Existing Customer,50,1,Graduate,Married,R80K - R120K,Silver,45,2,1,3,34516,925,33591
Existing Customer,53,2,Post-Graduate,Single,R120K +,Blue,36,6,1,2,34516,931,33585
Existing Customer,47,3,Graduate,Single,R120K +,Blue,36,6,2,4,34516,933,33583
Existing Customer,37,1,Graduate,Single,R80K - R120K,Blue,24,4,4,4,34516,934,33582
Existing Customer,36,2,High School,Married,R120K +,Blue,36,3,1,2,34516,939,33577
Existing Customer,44,3,Graduate,Unknown,Unknown,Silver,36,2,3,3,34516,941,33575
Existing Customer,44,1,Graduate,Married,R80K - R120K,Gold,29,2,1,3,34516,942,33574
Existing Customer,40,3,Unknown,Married,R120K +,Silver,30,6,3,2,34516,964,33552
Existing Customer,46,3,Graduate,Divorced,R80K - R120K,Blue,33,1,3,1,34516,975,33541
Existing Customer,31,0,Graduate,Single,R60K - R80K,Silver,24,2,2,2,34516,984,33532
Attrited Customer,51,3,Post-Graduate,Married,R80K - R120K,Silver,37,6,2,2,34516,989,33527
Attrited Customer,57,3,Graduate,Single,R120K +,Blue,52,6,4,3,34516,1000,33516
Existing Customer,40,3,Graduate,Married,R80K - R120K,Silver,36,6,3,0,34516,1002,33514
Existing Customer,48,4,High School,Married,R120K +,Blue,31,6,3,1,34516,1013,33503
Existing Customer,35,4,Graduate,Married,R120K +,Blue,30,4,3,4,34516,1018,33498
Existing Customer,41,2,Uneducated,Single,R120K +,Blue,24,2,2,1,34516,1022,33494
Existing Customer,50,2,Graduate,Single,R120K +,Blue,36,3,2,2,34516,1023,33493
Existing Customer,46,5,High School,Married,R120K +,Blue,32,5,2,2,34516,1024,33492
Existing Customer,52,0,High School,Married,R120K +,Silver,41,3,3,1,34516,1043,33473
Existing Customer,44,4,Uneducated,Married,R80K - R120K,Silver,27,4,3,2,34516,1043,33473
Existing Customer,42,4,High School,Married,R120K +,Gold,30,6,2,4,34516,1045,33471
Existing Customer,51,2,Doctorate,Single,R80K - R120K,Blue,41,3,3,2,34516,1046,33470
Existing Customer,56,3,Uneducated,Married,R120K +,Blue,36,6,3,3,34516,1047,33469
Existing Customer,43,4,High School,Divorced,R80K - R120K,Blue,36,3,3,2,34516,1048,33468
Existing Customer,53,2,College,Single,R120K +,Gold,36,2,1,1,34516,1051,33465
Existing Customer,44,1,Uneducated,Married,R120K +,Blue,33,2,2,3,34516,1058,33458
Existing Customer,49,5,College,Married,R60K - R80K,Gold,35,1,2,2,34516,1064,33452
Existing Customer,42,2,Graduate,Single,Unknown,Silver,36,2,2,3,34516,1066,33450
Existing Customer,42,2,Unknown,Married,R120K +,Blue,31,3,2,4,34516,1067,33449
Existing Customer,51,2,Uneducated,Single,R120K +,Blue,35,1,2,2,34516,1068,33448
Existing Customer,53,3,College,Single,R120K +,Silver,44,4,4,2,34516,1073,33443
Existing Customer,43,2,High School,Divorced,R80K - R120K,Blue,31,6,2,4,34516,1075,33441
Existing Customer,39,2,Unknown,Unknown,R120K +,Blue,34,2,2,2,34516,1082,33434
Existing Customer,53,3,Unknown,Single,R80K - R120K,Blue,43,4,3,4,34516,1084,33432
Attrited Customer,43,2,Unknown,Married,R60K - R80K,Gold,33,1,3,2,34516,1085,33431
Existing Customer,56,1,Graduate,Single,R80K - R120K,Silver,49,5,2,2,34516,1091,33425
Existing Customer,46,0,Unknown,Married,R60K - R80K,Gold,36,3,3,2,34516,1092,33424
Existing Customer,46,3,Unknown,Married,R80K - R120K,Blue,33,4,1,3,34516,1099,33417
Attrited Customer,46,4,Uneducated,Single,R80K - R120K,Gold,41,6,3,2,34516,1104,33412
Existing Customer,44,3,High School,Single,R120K +,Silver,36,1,2,2,34516,1106,33410
Existing Customer,41,3,Graduate,Married,R80K - R120K,Blue,26,6,3,3,33408,0,33408
Existing Customer,41,4,Doctorate,Married,R80K - R120K,Blue,29,3,3,3,33405,0,33405
Existing Customer,49,2,Graduate,Married,R80K - R120K,Silver,39,1,1,2,34516,1118,33398
Attrited Customer,47,4,Uneducated,Single,R120K +,Blue,37,3,2,6,34516,1126,33390
Existing Customer,27,0,College,Unknown,R80K - R120K,Silver,19,1,1,3,34516,1131,33385
Existing Customer,38,4,Uneducated,Unknown,R80K - R120K,Silver,36,2,1,2,34516,1132,33384
Attrited Customer,43,4,Graduate,Single,R120K +,Blue,36,1,3,4,33384,0,33384
Existing Customer,50,3,Graduate,Single,R120K +,Blue,33,1,2,2,34516,1134,33382
Existing Customer,38,4,High School,Single,R80K - R120K,Gold,36,6,1,3,34516,1140,33376
Existing Customer,62,0,High School,Single,Unknown,Silver,51,3,1,4,33371,0,33371
Existing Customer,43,2,High School,Married,R120K +,Silver,23,3,3,2,34516,1153,33363
Existing Customer,50,2,Unknown,Married,R120K +,Blue,43,3,2,1,34516,1156,33360
Existing Customer,47,3,Graduate,Married,R120K +,Silver,42,1,3,1,34516,1161,33355
Existing Customer,49,1,Graduate,Divorced,Unknown,Silver,43,1,3,1,34516,1163,33353
Existing Customer,45,4,High School,Married,R80K - R120K,Blue,36,3,2,3,34516,1170,33346
Existing Customer,31,2,Unknown,Single,R80K - R120K,Blue,24,6,3,3,34516,1180,33336
Existing Customer,40,2,High School,Unknown,R80K - R120K,Silver,32,5,2,3,34516,1182,33334
Existing Customer,50,1,Graduate,Single,R120K +,Blue,40,4,2,3,34516,1185,33331
Existing Customer,55,2,High School,Divorced,R120K +,Blue,42,3,2,2,34516,1190,33326
Existing Customer,44,4,Unknown,Married,R120K +,Blue,31,4,3,4,34516,1197,33319
Existing Customer,53,3,Graduate,Single,R80K - R120K,Silver,39,1,2,3,34516,1198,33318
Existing Customer,41,3,High School,Married,R80K - R120K,Blue,35,6,1,2,34516,1202,33314
Existing Customer,53,1,Graduate,Divorced,R80K - R120K,Blue,35,5,4,2,34516,1219,33297
Existing Customer,51,0,College,Single,R80K - R120K,Blue,33,1,3,1,34516,1228,33288
Attrited Customer,38,2,Graduate,Single,R120K +,Blue,36,5,2,1,34516,1229,33287
Existing Customer,42,2,Unknown,Single,R120K +,Gold,37,5,2,2,34516,1230,33286
Existing Customer,52,3,Graduate,Divorced,R120K +,Silver,42,6,2,3,34516,1230,33286
Existing Customer,46,2,Graduate,Married,R80K - R120K,Silver,35,6,3,2,34516,1236,33280
Existing Customer,57,2,Uneducated,Single,R120K +,Blue,46,3,2,3,34516,1244,33272
Existing Customer,51,4,College,Married,R120K +,Silver,31,5,2,1,34516,1254,33262
Existing Customer,49,3,College,Single,R60K - R80K,Gold,36,5,3,1,34516,1255,33261
Existing Customer,44,3,High School,Single,R80K - R120K,Blue,29,6,3,1,34516,1259,33257
Existing Customer,46,5,Uneducated,Unknown,R80K - R120K,Blue,28,6,1,1,34516,1259,33257
Existing Customer,50,2,High School,Married,R80K - R120K,Silver,45,3,1,3,34516,1260,33256
Existing Customer,39,1,College,Single,R80K - R120K,Blue,36,3,1,3,34516,1260,33256
Existing Customer,34,2,Graduate,Single,R80K - R120K,Silver,22,4,3,3,34516,1263,33253
Existing Customer,47,2,Uneducated,Single,R80K - R120K,Blue,36,3,2,2,34516,1264,33252
Existing Customer,55,3,High School,Single,R120K +,Blue,51,3,1,3,34516,1266,33250
Attrited Customer,49,3,High School,Married,Unknown,Silver,36,2,3,3,34516,1273,33243
Existing Customer,46,3,College,Single,R80K - R120K,Silver,38,3,3,1,34516,1278,33238
Attrited Customer,51,4,Unknown,Single,R120K +,Silver,46,2,3,3,34516,1279,33237
Existing Customer,48,4,Graduate,Unknown,R60K - R80K,Gold,32,5,1,3,34516,1285,33231
Existing Customer,42,3,High School,Married,R80K - R120K,Silver,36,5,2,3,34516,1294,33222
Existing Customer,45,4,Doctorate,Unknown,Unknown,Silver,39,4,1,2,34516,1298,33218
Existing Customer,57,2,High School,Single,R60K - R80K,Silver,45,5,2,3,33211,0,33211
Existing Customer,56,3,Graduate,Single,R120K +,Blue,44,3,1,2,34516,1307,33209
Existing Customer,45,2,Graduate,Married,R60K - R80K,Platinum,31,2,2,1,34516,1308,33208
Existing Customer,44,2,Graduate,Single,R80K - R120K,Blue,31,5,2,4,34516,1311,33205
Existing Customer,49,2,High School,Single,R80K - R120K,Silver,40,4,3,2,34516,1313,33203
Existing Customer,55,2,Graduate,Single,R80K - R120K,Silver,36,5,1,1,34516,1316,33200
Existing Customer,49,3,Graduate,Married,R120K +,Blue,37,1,1,1,34516,1316,33200
Existing Customer,49,3,Post-Graduate,Single,R120K +,Silver,36,6,1,5,34516,1323,33193
Existing Customer,40,3,Uneducated,Single,R120K +,Blue,36,4,2,5,34516,1329,33187
Existing Customer,53,4,High School,Divorced,R120K +,Blue,36,3,3,2,34516,1337,33179
Existing Customer,58,1,High School,Married,R80K - R120K,Blue,50,1,1,3,34516,1341,33175
Existing Customer,47,3,Unknown,Single,R120K +,Gold,38,2,4,3,34516,1342,33174
Existing Customer,44,3,Graduate,Married,R120K +,Blue,32,4,2,2,34516,1344,33172
Existing Customer,41,4,College,Married,R80K - R120K,Silver,34,4,3,3,34516,1347,33169
Existing Customer,47,2,College,Married,R60K - R80K,Silver,35,2,1,1,34516,1349,33167
Existing Customer,44,4,Doctorate,Unknown,R120K +,Blue,32,3,2,3,34516,1356,33160
Existing Customer,42,2,Graduate,Married,R80K - R120K,Silver,31,2,1,3,34516,1356,33160
Existing Customer,61,0,Graduate,Single,R80K - R120K,Gold,50,3,3,3,34516,1357,33159
Existing Customer,59,0,Unknown,Unknown,R80K - R120K,Silver,40,3,2,3,34516,1359,33157
Existing Customer,52,2,Graduate,Married,R80K - R120K,Blue,37,1,3,1,34516,1369,33147
Existing Customer,47,3,High School,Unknown,R80K - R120K,Silver,40,5,3,2,34516,1371,33145
Existing Customer,46,2,College,Married,R80K - R120K,Blue,36,5,4,2,33142,0,33142
Existing Customer,46,4,Graduate,Married,R120K +,Silver,36,4,1,3,34516,1380,33136
Existing Customer,46,2,Graduate,Unknown,R120K +,Silver,39,2,2,3,34516,1381,33135
Existing Customer,52,2,Doctorate,Married,R120K +,Blue,44,1,2,2,34516,1382,33134
Existing Customer,57,3,Graduate,Divorced,R80K - R120K,Silver,36,6,3,4,34516,1384,33132
Existing Customer,55,2,Uneducated,Single,R60K - R80K,Silver,48,5,3,3,34516,1384,33132
Existing Customer,60,0,College,Single,R80K - R120K,Silver,53,6,3,2,34516,1388,33128
Existing Customer,42,3,High School,Single,R80K - R120K,Silver,32,3,3,3,34516,1396,33120
Existing Customer,45,2,Unknown,Married,R120K +,Silver,38,4,2,3,34516,1406,33110
Existing Customer,45,4,Doctorate,Single,R120K +,Gold,36,1,3,1,34516,1411,33105
Existing Customer,48,3,Graduate,Married,R80K - R120K,Blue,37,5,2,1,34516,1416,33100
Existing Customer,57,2,Graduate,Single,R120K +,Silver,51,6,3,4,34516,1417,33099
Existing Customer,48,5,High School,Married,R80K - R120K,Silver,40,6,2,2,34516,1417,33099
Existing Customer,42,4,Uneducated,Married,R80K - R120K,Silver,35,1,2,3,34516,1420,33096
Existing Customer,44,2,Uneducated,Married,R120K +,Platinum,36,2,1,3,34516,1421,33095
Existing Customer,48,4,Uneducated,Divorced,R80K - R120K,Gold,38,4,3,1,34516,1426,33090
Existing Customer,46,4,Doctorate,Unknown,R60K - R80K,Gold,36,2,2,3,34516,1426,33090
Existing Customer,40,5,High School,Single,R120K +,Blue,31,1,1,3,34516,1427,33089
Existing Customer,55,2,College,Single,R80K - R120K,Silver,45,3,1,4,34516,1433,33083
Existing Customer,41,4,Unknown,Married,R80K - R120K,Silver,31,5,2,2,34516,1433,33083
Existing Customer,38,1,Doctorate,Single,R80K - R120K,Silver,29,6,3,3,34516,1435,33081
Existing Customer,38,4,Post-Graduate,Single,R80K - R120K,Silver,36,1,3,1,34516,1435,33081
Existing Customer,40,2,High School,Single,R120K +,Silver,36,3,4,2,34516,1436,33080
Existing Customer,43,1,Graduate,Single,R80K - R120K,Silver,37,4,3,2,34516,1440,33076
Existing Customer,42,2,Graduate,Married,R120K +,Blue,32,1,1,1,34516,1440,33076
